customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,preferred_payment_method,frequency_of_purchases
1,43,Female,Sneakers,Footwear,80.5,Florida,M,Blue,Spring,3.7,No,PayPal,Express,Yes,Yes,1,Cash,Monthly
2,53,Male,Watch,Accessories,110.98,California,S,Black,Summer,3.7,No,Debit Card,2-Day Shipping,No,Yes,4,PayPal,Bi-Weekly
3,43,Female,Watch,Accessories,132.89,Florida,S,Blue,Winter,3.7,No,Credit Card,2-Day Shipping,Yes,Yes,5,Credit Card,Bi-Weekly
4,58,Female,Blouse,Clothing,50.07,California,M,White,Spring,3.9,No,PayPal,2-Day Shipping,Yes,No,2,Debit Card,Bi-Weekly
5,18,Male,Jeans,Clothing,58.32,Florida,S,Silver,Spring,4.2,No,Venmo,Express,Yes,No,7,Cash,Monthly
6,33,Female,Blouse,Clothing,43.61,Texas,S,Black,Fall,4.1,Yes,PayPal,2-Day Shipping,Yes,No,5,Debit Card,Monthly
7,25,Female,Blouse,Clothing,53.76,Texas,M,Blue,Fall,3.4,No,Cash,Store Pickup,Yes,Yes,4,Credit Card,Quarterly
8,27,Female,Jeans,Clothing,61.9,Illinois,M,Blue,Spring,4.4,Yes,Cash,Express,No,No,0,Cash,Weekly
9,22,Male,T-Shirt,Clothing,26.54,California,L,Silver,Spring,3.8,No,Venmo,Free Shipping,No,No,4,Credit Card,Monthly
10,51,Female,Blouse,Clothing,44.31,New York,L,White,Spring,4.9,No,Cash,Free Shipping,No,Yes,3,PayPal,Bi-Weekly
11,19,Male,Sneakers,Footwear,95.96,Illinois,S,Blue,Spring,4.9,Yes,PayPal,2-Day Shipping,No,No,0,Credit Card,Quarterly
12,19,Male,Blouse,Clothing,42.33,Texas,L,Blue,Fall,4.4,No,Credit Card,Free Shipping,Yes,Yes,3,Credit Card,Quarterly
13,58,Female,T-Shirt,Clothing,25.37,New York,L,White,Winter,4.4,No,Cash,2-Day Shipping,Yes,Yes,4,Credit Card,Bi-Weekly
14,42,Female,Sneakers,Footwear,88.81,Florida,S,White,Fall,4.8,Yes,Venmo,Express,Yes,Yes,7,PayPal,Quarterly
15,55,Female,Sneakers,Footwear,80.0,Florida,S,White,Spring,3.9,No,Cash,Store Pickup,No,No,0,Cash,Bi-Weekly
16,29,Male,Jeans,Clothing,66.75,Texas,L,Black,Summer,4.2,No,Credit Card,Express,No,No,6,PayPal,Weekly
17,51,Male,Jeans,Clothing,64.06,Illinois,S,Blue,Winter,3.4,Yes,Venmo,Express,No,No,0,PayPal,Weekly
18,43,Male,T-Shirt,Clothing,30.04,California,L,Blue,Fall,3.0,No,Credit Card,Store Pickup,Yes,No,8,Cash,Quarterly
19,24,Female,T-Shirt,Clothing,33.7,Florida,L,Blue,Summer,4.8,Yes,Venmo,Express,Yes,Yes,5,PayPal,Weekly
20,25,Male,Sneakers,Footwear,85.92,California,M,White,Summer,3.2,Yes,Credit Card,Free Shipping,Yes,Yes,2,Cash,Monthly
21,51,Female,Sneakers,Footwear,83.21,New York,L,Silver,Winter,4.3,Yes,Venmo,Free Shipping,Yes,No,10,Credit Card,Quarterly
22,55,Female,Watch,Accessories,134.39,New York,L,Black,Fall,4.8,No,Debit Card,Free Shipping,Yes,No,6,PayPal,Quarterly
23,25,Female,Blouse,Clothing,42.25,Florida,L,Blue,Winter,3.8,Yes,Debit Card,Standard,No,Yes,9,Cash,Quarterly
24,58,Male,Blouse,Clothing,47.92,New York,M,Blue,Summer,3.2,Yes,Credit Card,Free Shipping,Yes,No,4,Venmo,Monthly
25,43,Male,Blouse,Clothing,44.12,California,M,Silver,Summer,3.3,Yes,PayPal,2-Day Shipping,Yes,Yes,6,Credit Card,Quarterly
